date,cumsum_task_count,cumsum_input_data_count,cumsum_actual_worktime_hour,task_count,input_data_count,annotation_count,actual_worktime_hour,monitored_worktime_hour,monitored_annotation_worktime_hour,monitored_inspection_worktime_hour,monitored_acceptance_worktime_hour,unmonitored_worktime_hour,actual_worktime_hour/task_count,actual_worktime_hour/task_count__lastweek,actual_worktime_hour/input_data_count,actual_worktime_hour/input_data_count__lastweek,actual_worktime_hour/annotation_count,actual_worktime_hour/annotation_count__lastweek,monitored_worktime_hour/task_count,monitored_worktime_hour/task_count__lastweek,monitored_worktime_hour/input_data_count,monitored_worktime_hour/input_data_count__lastweek,monitored_worktime_hour/annotation_count,monitored_worktime_hour/annotation_count__lastweek,working_user_count
2020-10-14,0,0,2.5,0,0,0,2.5,0,0,0,0,2.5,,,,,,,,,,,,,2
2020-10-15,3,45,7.83333333333333,3,45,178,5.33333333333333,1.49634166666667,1.17254638888889,0,0.323795277777778,3.83699166666666,1.77777777777778,2.61111111111111,0.118518518518519,0.174074074074074,0.029962546816479,0.044007490636704,0.498780555555556,0.498780555555556,0.033252037037037,0.033252037037037,0.008406413857678,0.008406413857678,2
2020-10-16,21,415,14,18,370,1013,6.16666666666667,8.52493916666667,7.24142,0,1.28351916666667,-2.3582725,0.342592592592593,0.666666666666667,0.016666666666667,0.033734939759036,0.006087528792366,0.011754827875735,0.473607731481482,0.477203849206349,0.023040376126126,0.024147664658635,0.008415537183284,0.008414173663588,2
2020-10-17,24,475,15.3333333333333,3,60,166,1.33333333333333,1.46620222222222,1.29495666666667,0,0.171245555555556,-0.13286888888889,0.444444444444444,0.638888888888889,0.022222222222222,0.032280701754386,0.008032128514056,0.011299435028249,0.488734074074074,0.478645127314815,0.024436703703704,0.024184174853801,0.008832543507363,0.008465352288545,1
2020-10-18,24,475,15.3333333333333,0,0,0,0,0,0,0,0,0,,0.638888888888889,,0.032280701754386,,0.011299435028249,,0.478645127314815,,0.024184174853801,,0.008465352288545,0
2020-10-19,36,745,31.1833333333333,12,270,870,15.85,5.16258666666667,4.45458277777778,0,0.708003888888889,10.6874133333333,1.32083333333333,0.866203703703704,0.058703703703704,0.041856823266219,0.018218390804598,0.01400239485107,0.430215555555556,0.462501936728395,0.019120691358025,0.022349086875466,0.005934007662835,0.007476456992466,3
2020-10-20,87,1790,44.5833333333333,51,1045,2991,13.4,18.1721602777778,13.5917094444444,0,4.58045083333333,-4.7721602777778,0.262745098039216,0.512452107279693,0.012822966507177,0.024906890130354,0.00448010698763,0.008544142072314,0.356316868191721,0.400255517241379,0.017389627060075,0.019453759776536,0.006075613600059,0.006673482177079,3
2020-10-21,140,2819,60.3833333333333,53,1029,3009,15.8,14.4950477777778,11.2039955555556,0,3.29105222222222,1.3049522222222,0.29811320754717,0.413452380952381,0.015354713313897,0.020533286035237,0.005250913924892,0.007035776508245,0.273491467505241,0.35226626984127,0.014086538170824,0.017494600134011,0.004817230899893,0.005994563969585,3
2020-10-22,186,3749,75.7333333333333,46,930,2660,15.35,14.2205913888889,11.3161941666667,0,2.90439722222222,1.1294086111111,0.333695652173913,0.37103825136612,0.016505376344086,0.018331533477322,0.005770676691729,0.006340461294238,0.309143291062802,0.339024740437158,0.015290958482676,0.016749872435205,0.005346086988304,0.005793400644318,3
2020-10-23,218,4374,83.45,32,625,1664,7.71666666666667,4.30355527777778,2.53399388888889,0,1.76956138888889,3.41311138888889,0.241145833333333,0.35253807106599,0.012346666666667,0.017542308663804,0.004637419871795,0.006113556338028,0.134486102430556,0.293503267061478,0.006885688444444,0.014604734430692,0.002586271200588,0.005089801374218,2
